"Subject" "Location" "TrialNum" "Target1" "Target2" "Resp1" "Resp2"
"039" "E" 19 11 10 11 11
"039" "E" 24 11 10 12 11
"040" "A" 11 2 10 2 11
"040" "A" 12 2 10 2 11
"040" "A" 16 2 10 4 11
"040" "A" 22 2 10 4 11
"040" "A" 23 2 10 5 10
"040" "B" 4 5 5 12 5
"040" "B" 8 5 5 11 6
"040" "B" 17 5 5 11 6
"040" "B" 18 5 5 13 7
"040" "B" 20 5 5 10 5
"040" "C" 1 9 3 13 3
"040" "C" 3 9 3 15 2
"040" "C" 7 9 3 14 3
"040" "C" 19 9 3 16 3
"040" "C" 25 9 3 16 1
"040" "D" 2 2 1 6 1
"040" "D" 9 2 1 5 2
"040" "D" 10 2 1 3 1
"040" "D" 14 2 1 3 2
"040" "D" 24 2 1 4 1
"040" "E" 5 11 10 17 9
"040" "E" 6 11 10 16 10
"040" "E" 13 11 10 15 11
"040" "E" 15 11 10 17 11
"040" "E" 21 11 10 17 10
"067" "A" 2 2 10 4 11
"067" "A" 3 2 10 3 11
"067" "A" 5 2 10 2 11
"067" "A" 16 2 10 1 11
"067" "A" 21 2 10 2 11
"067" "B" 6 5 5 6 9
"067" "B" 7 5 5 5 7
"067" "B" 15 5 5 5 8
"067" "B" 22 5 5 4 10
"067" "B" 23 5 5 6 10
"067" "C" 1 9 3 15 5
"067" "C" 9 9 3 12 2
"067" "C" 11 9 3 14 2
"067" "C" 13 9 3 13 5
"067" "C" 20 9 3 12 9
"067" "D" 8 2 1 2 3
"067" "D" 10 2 1 3 1
"067" "D" 14 2 1 2 3
"067" "D" 18 2 1 3 4
"067" "D" 25 2 1 6 4
"067" "E" 4 11 10 12 11
"067" "E" 12 11 10 14 11
"067" "E" 17 11 10 15 11
"067" "E" 19 11 10 14 11
"067" "E" 24 11 10 14 11
"068" "A" 8 2 10 3 11
"068" "A" 16 2 10 3 11
"068" "A" 18 2 10 4 11
"068" "A" 20 2 10 3 10
"068" "A" 24 2 10 6 11
"068" "B" 1 5 5 11 5
"068" "B" 3 5 5 11 7
"068" "B" 7 5 5 8 8
"068" "B" 10 5 5 5 7
"068" "B" 11 5 5 6 7
"068" "C" 2 9 3 13 2
"068" "C" 6 9 3 11 3
"068" "C" 12 9 3 10 2
"068" "C" 23 9 3 14 2
"068" "C" 25 9 3 13 1
"068" "D" 4 2 1 5 3
"068" "D" 9 2 1 2 1
"068" "D" 13 2 1 3 2
"068" "D" 14 2 1 3 1
"068" "D" 21 2 1 4 1
"068" "E" 5 11 10 16 9
"068" "E" 15 11 10 17 8
"068" "E" 17 11 10 15 10
"068" "E" 19 11 10 17 9
"068" "E" 22 11 10 17 7
"041" "A" 4 2 10 4 11
"041" "A" 5 2 10 4 11
"041" "A" 7 2 10 3 11
"041" "A" 13 2 10 4 11
"041" "A" 18 2 10 4 11
"041" "B" 3 5 5 9 3
"041" "B" 9 5 5 8 3
"041" "B" 12 5 5 8 5
"041" "B" 16 5 5 9 3
"041" "B" 24 5 5 11 4
"041" "C" 1 9 3 14 1
"041" "C" 2 9 3 14 1
"041" "C" 17 9 3 14 2
"041" "C" 22 9 3 16 3
"041" "C" 23 9 3 16 2
"041" "D" 6 2 1 5 1
"041" "D" 8 2 1 3 1
"041" "D" 14 2 1 5 1
"041" "D" 19 2 1 4 2
"041" "D" 25 2 1 5 1
"041" "E" 10 11 10 15 11
"041" "E" 11 11 10 16 11
"041" "E" 15 11 10 15 11
"041" "E" 20 11 10 16 11
"041" "E" 21 11 10 17 11
"042" "A" 7 2 10 5 11
"042" "A" 13 2 10 4 10
"042" "A" 16 2 10 3 11
"042" "A" 17 2 10 3 11
"042" "A" 23 2 10 5 10
"042" "B" 4 5 5 9 6
"042" "B" 10 5 5 7 7
"042" "B" 14 5 5 6 9
"042" "B" 19 5 5 6 10
"042" "B" 22 5 5 11 10
"042" "C" 2 9 3 15 3
"042" "C" 3 9 3 14 1
"042" "C" 5 9 3 12 2
"042" "C" 20 9 3 8 3
"042" "C" 24 9 3 15 1
"042" "D" 1 2 1 7 8
"042" "D" 6 2 1 6 6
"042" "D" 9 2 1 5 4
"042" "D" 12 2 1 5 5
"042" "D" 15 2 1 3 7
"042" "E" 8 11 10 12 11
"042" "E" 11 11 10 13 10
"042" "E" 18 11 10 7 11
"042" "E" 21 11 10 11 2
"042" "E" 25 11 10 14 11
"043" "A" 3 2 10 4 11
"043" "A" 17 2 10 6 10
"043" "A" 19 2 10 4 8
"043" "A" 21 2 10 4 10
"043" "A" 25 2 10 5 11
"043" "B" 1 5 5 10 8
"043" "B" 2 5 5 11 6
"043" "B" 8 5 5 8 5
"043" "B" 9 5 5 9 6
"043" "B" 13 5 5 11 8
"043" "C" 6 9 3 16 6
"043" "C" 12 9 3 15 4
"043" "C" 14 9 3 17 5
"043" "C" 15 9 3 18 5
"043" "C" 20 9 3 16 4
"043" "D" 7 2 1 4 1
"043" "D" 10 2 1 5 1
"043" "D" 11 2 1 4 1
"043" "D" 18 2 1 4 1
"043" "D" 22 2 1 4 1
"043" "E" 4 11 10 14 11
"043" "E" 5 11 10 17 11
"043" "E" 16 11 10 15 10
"043" "E" 23 11 10 4 1
"043" "E" 24 11 10 17 11
"044" "A" 4 2 10 5 11
"044" "A" 11 2 10 5 11
"044" "A" 13 2 10 6 11
"044" "A" 20 2 10 5 11
"044" "A" 23 2 10 3 11
"044" "B" 8 5 5 8 9
"044" "B" 10 5 5 9 11
"044" "B" 14 5 5 7 8
"044" "B" 16 5 5 9 6
"044" "B" 22 5 5 7 9
"044" "C" 2 9 3 8 3
"044" "C" 3 9 3 8 6
"044" "C" 17 9 3 12 5
"044" "C" 18 9 3 8 6
"044" "C" 19 9 3 9 5
"044" "D" 1 2 1 5 1
"044" "D" 12 2 1 4 2
"044" "D" 15 2 1 5 1
"044" "D" 24 2 1 3 3
"044" "D" 25 2 1 2 1
"044" "E" 5 11 10 14 11
"044" "E" 6 11 10 16 11
"044" "E" 7 11 10 15 11
"044" "E" 9 11 10 14 11
"044" "E" 21 11 10 16 11
"045" "A" 14 2 10 4 10
"045" "A" 17 2 10 6 10
"045" "A" 19 2 10 4 11
"045" "A" 20 2 10 4 11
"045" "A" 23 2 10 6 10
"045" "B" 3 5 5 13 5
"045" "B" 4 5 5 12 5
"045" "B" 13 5 5 10 2
"045" "B" 15 5 5 10 3
"045" "B" 18 5 5 12 3
"045" "C" 6 9 3 13 2
"045" "C" 9 9 3 13 2
"045" "C" 10 9 3 13 2
"045" "C" 24 9 3 13 1
"045" "C" 25 9 3 15 1
"045" "D" 7 2 1 3 2
"045" "D" 8 2 1 3 2
"045" "D" 11 2 1 3 2
"045" "D" 12 2 1 4 2
"045" "D" 21 2 1 3 3
"045" "E" 1 11 10 18 10
"045" "E" 2 11 10 19 10
"045" "E" 5 11 10 16 11
"045" "E" 16 11 10 19 9
"045" "E" 22 11 10 15 11
"046" "A" 4 2 10 7 11
"046" "A" 10 2 10 4 11
"046" "A" 11 2 10 4 10
"046" "A" 15 2 10 3 9
"046" "A" 23 2 10 6 10
"046" "B" 5 5 5 6 7
"046" "B" 9 5 5 11 7
"046" "B" 13 5 5 7 10
"046" "B" 17 5 5 9 7
"046" "B" 18 5 5 9 9
"046" "C" 3 9 3 13 1
"046" "C" 8 9 3 12 2
"046" "C" 16 9 3 13 1
"046" "C" 21 9 3 12 2
"046" "C" 25 9 3 11 4
"046" "D" 1 2 1 5 2
"046" "D" 7 2 1 5 4
"046" "D" 12 2 1 4 3
"046" "D" 14 2 1 4 1
"046" "D" 24 2 1 4 3
"046" "E" 2 11 10 15 9
"046" "E" 6 11 10 13 11
"046" "E" 19 11 10 13 9
"046" "E" 20 11 10 14 10
"046" "E" 22 11 10 15 10
"047" "A" 4 2 10 5 10
"047" "A" 8 2 10 5 10
"047" "A" 13 2 10 4 11
"047" "A" 21 2 10 5 11
"047" "A" 24 2 10 7 10
"047" "B" 6 5 5 7 5
"047" "B" 7 5 5 7 7
"047" "B" 9 5 5 8 5
"047" "B" 20 5 5 6 4
"047" "B" 25 5 5 7 6
"047" "C" 3 9 3 15 2
"047" "C" 5 9 3 15 1
"047" "C" 17 9 3 16 2
"047" "C" 19 9 3 16 2
"047" "C" 23 9 3 18 1
"047" "D" 1 2 1 6 2
"047" "D" 11 2 1 4 3
"047" "D" 12 2 1 4 3
"047" "D" 15 2 1 3 2
"047" "D" 18 2 1 4 2
"047" "E" 2 11 10 14 9
"047" "E" 10 11 10 16 9
"047" "E" 14 11 10 19 10
"047" "E" 16 11 10 17 10
"047" "E" 22 11 10 18 9
"049" "A" 1 2 10 6 10
"049" "A" 10 2 10 6 11
"049" "A" 11 2 10 6 11
"049" "A" 20 2 10 6 10
"049" "A" 23 2 10 6 11
"049" "B" 7 5 5 8 8
"049" "B" 9 5 5 7 6
"049" "B" 12 5 5 7 7
"049" "B" 15 5 5 8 8
"049" "B" 19 5 5 9 9
"049" "C" 4 9 3 12 3
"049" "C" 5 9 3 11 2
"049" "C" 6 9 3 12 2
"049" "C" 13 9 3 11 2
"049" "C" 21 9 3 11 4
"049" "D" 2 2 1 6 2
"049" "D" 3 2 1 6 4
"049" "D" 14 2 1 6 3
"049" "D" 18 2 1 6 2
"049" "D" 22 2 1 6 2
"049" "E" 8 11 10 14 11
"049" "E" 16 11 10 13 10
"049" "E" 17 11 10 15 11
"049" "E" 24 11 10 13 11
"049" "E" 25 11 10 13 11
"050" "A" 2 2 10 4 10
"050" "A" 9 2 10 5 10
"050" "A" 17 2 10 4 10
"050" "A" 20 2 10 4 11
"050" "A" 22 2 10 4 10
"050" "B" 12 5 5 11 7
"050" "B" 14 5 5 9 5
"050" "B" 18 5 5 9 3
"050" "B" 23 5 5 10 3
"050" "B" 24 5 5 10 2
"050" "C" 3 9 3 14 5
"050" "C" 5 9 3 17 4
"050" "C" 11 9 3 18 2
"050" "C" 21 9 3 17 3
"050" "C" 25 9 3 19 2
"050" "D" 1 2 1 4 2
"050" "D" 7 2 1 3 1
"050" "D" 8 2 1 4 1
"050" "D" 15 2 1 5 1
"050" "D" 19 2 1 4 1
"050" "E" 4 11 10 16 10
"050" "E" 6 11 10 19 11
"050" "E" 10 11 10 18 10
"050" "E" 13 11 10 19 10
"050" "E" 16 11 10 18 9
"051" "A" 5 2 10 5 10
"051" "A" 6 2 10 5 11
"051" "A" 7 2 10 6 10
"051" "A" 14 2 10 7 10
"051" "A" 24 2 10 6 10
"051" "B" 1 5 5 11 7
"051" "B" 12 5 5 7 9
"051" "B" 18 5 5 7 11
"051" "B" 21 5 5 7 11
"051" "B" 23 5 5 10 10
"051" "C" 2 9 3 12 1
"051" "C" 9 9 3 13 3
"051" "C" 10 9 3 12 2
"051" "C" 16 9 3 14 2
